source_feature,importance
BankState,0.17734258
SBADistrictOffice,0.1611398
ProjectState,0.13965164
term_years,0.118574925
ProcessingMethod,0.08231267
CongressionalDistrict,0.07110587
naics_sector,0.05818115
sold_secondary_market,0.047817335
FixedorVariableInterestInd,0.021314126
approval_month,0.01867059
RevolverStatus,0.01721261
business_age_group,0.01662471
sba_guarantee_ratio,0.014368974
guarantee_ratio_bucket,0.00990224
same_state_lender,0.009099478
InitialInterestRate,0.00867449
BusinessType,0.0073344046
CollateralInd,0.006930405
log_sba_guaranteed_approval,0.0038409533
log_gross_approval,0.0029626105
is_franchise,0.0028084232
ApprovalFY,0.0025521617
JobsSupported,0.0015778195
